,Open,High,Low,Close,Volume
2016-12-20 16:00:00-05:00,26.2,26.95,26.15,26.95,52103
2016-12-21 16:00:00-05:00,26.95,27.7,26.775,27.6,52599
2016-12-22 16:00:00-05:00,27.65,27.85,27.15,27.25,46624
2016-12-23 16:00:00-05:00,27.35,27.35,26.85,27.0,12320
2016-12-27 16:00:00-05:00,27.15,27.45,26.85,26.9,26495
2016-12-28 16:00:00-05:00,26.9,27.0,26.6,26.8,20948
2016-12-29 16:00:00-05:00,27.0,27.2,26.16,26.8,29437
2016-12-30 16:00:00-05:00,26.75,26.9,26.45,26.85,21080
2017-01-03 16:00:00-05:00,27.3,27.3,26.1102,26.5,35181
2017-01-04 16:00:00-05:00,26.7,26.8,26.3,26.5,24621
2017-01-05 16:00:00-05:00,26.5,26.75,25.35,25.5,61685
2017-01-06 16:00:00-05:00,25.75,25.75,25.25,25.4,21793
2017-01-09 16:00:00-05:00,25.15,25.4,24.7,25.2,31871
2017-01-10 16:00:00-05:00,25.0,25.35,24.9,25.05,50464
2017-01-11 16:00:00-05:00,25.2,25.8,24.9,25.75,32763
2017-01-12 16:00:00-05:00,25.55,26.0,24.85,25.5,25339
2017-01-13 16:00:00-05:00,25.25,25.65,24.9,25.1,21137
2017-01-17 16:00:00-05:00,24.85,24.85,23.95,24.2,35664
2017-01-18 16:00:00-05:00,24.4,24.95,24.2,24.75,17161
2017-01-19 16:00:00-05:00,24.8,24.8,24.25,24.5,28451
2017-01-20 16:00:00-05:00,24.6,25.3,24.6,24.8,33073
2017-01-23 16:00:00-05:00,24.75,24.95,24.1,24.8,13417
2017-01-24 16:00:00-05:00,24.9,25.8665,24.5,25.25,9396
2017-01-25 16:00:00-05:00,25.65,26.45,25.25,26.45,60846
2017-01-26 16:00:00-05:00,26.45,26.45,25.4,25.85,41335
2017-01-27 16:00:00-05:00,25.7,26.1156,25.3,25.65,34099
2017-01-30 16:00:00-05:00,25.9,25.9,24.4248,25.0,28605
2017-01-31 16:00:00-05:00,24.8,25.7,24.65,25.25,18074
2017-02-01 16:00:00-05:00,24.6497,25.4,23.95,25.0,20603
2017-02-02 16:00:00-05:00,24.85,25.05,24.45,25.0,20781
2017-02-03 16:00:00-05:00,25.2,25.9,25.2,25.75,23649
2017-02-06 16:00:00-05:00,25.75,25.75,25.05,25.3,24978
2017-02-07 16:00:00-05:00,25.4,25.5,25.01,25.25,17716
2017-02-08 16:00:00-05:00,25.05,25.15,24.65,24.65,18880
2017-02-09 16:00:00-05:00,24.75,25.2,24.6,25.15,15361
2017-02-10 16:00:00-05:00,25.3,25.65,25.2,25.35,13586
2017-02-13 16:00:00-05:00,25.6,25.8525,25.035,25.3,15959
2017-02-14 16:00:00-05:00,25.6,25.65,25.175,25.35,18547
2017-02-15 16:00:00-05:00,25.35,25.85,25.35,25.8,16367
2017-02-16 16:00:00-05:00,25.7,26.3,25.7,26.15,55300
2017-02-17 16:00:00-05:00,26.1,26.35,26.1,26.25,22612
2017-02-21 16:00:00-05:00,26.25,26.425,26.15,26.35,9343
2017-02-22 16:00:00-05:00,26.25,26.7,26.225,26.6,16895
2017-02-23 16:00:00-05:00,26.65,26.7,26.3,26.65,32477
2017-02-24 16:00:00-05:00,26.5,26.95,26.5,26.65,18671
2017-02-27 16:00:00-05:00,26.8,26.8,26.6,26.7,22546
2017-02-28 16:00:00-05:00,26.5,26.75,26.5,26.6,44487
2017-03-01 16:00:00-05:00,27.0,27.3,26.8,27.15,30487
2017-03-02 16:00:00-05:00,26.9876,26.9876,26.65,26.65,15835
2017-03-03 16:00:00-05:00,26.75,26.8,26.6,26.75,14649
2017-03-06 16:00:00-05:00,26.7,26.72,26.35,26.65,55071
2017-03-07 16:00:00-05:00,26.8,26.85,26.55,26.65,17991
2017-03-08 16:00:00-05:00,26.9,26.9,26.55,26.55,20982
2017-03-09 16:00:00-05:00,26.5,26.75,26.5,26.55,34848
2017-03-10 16:00:00-05:00,26.7,26.75,26.6,26.65,34344
2017-03-13 16:00:00-04:00,26.6,26.8,26.6,26.7,23849
2017-03-14 16:00:00-04:00,26.6,26.7,26.3,26.6,40428
2017-03-15 16:00:00-04:00,26.65,26.7,26.5,26.6,45512
2017-03-16 16:00:00-04:00,26.6,26.7,26.05,26.55,21784
2017-03-17 16:00:00-04:00,26.6,27.25,26.35,27.1,90634
2017-03-20 16:00:00-04:00,26.9,27.2,26.8,26.9,27698
2017-03-21 16:00:00-04:00,26.95,26.95,25.35,25.85,51767
2017-03-22 16:00:00-04:00,25.75,26.1,25.7,25.95,41337
2017-03-23 16:00:00-04:00,26.05,26.4,25.8,25.95,21683
2017-03-24 16:00:00-04:00,26.35,26.35,25.9,26.0,13716
2017-03-27 16:00:00-04:00,25.6,26.25,25.5,26.25,18227
2017-03-28 16:00:00-04:00,26.1,26.45,25.95,26.4,15239
2017-03-29 16:00:00-04:00,26.4,26.4,25.7357,25.85,33463
2017-03-30 16:00:00-04:00,25.9,26.5,25.9,26.45,27369
2017-03-31 16:00:00-04:00,26.45,26.6,26.35,26.45,19110
2017-04-03 16:00:00-04:00,26.35,26.35,25.9,26.0,21489
2017-04-04 16:00:00-04:00,25.95,26.05,25.65,26.0,27100
2017-04-05 16:00:00-04:00,26.1,26.375,25.9,25.9,41167
2017-04-06 16:00:00-04:00,25.85,26.0,25.75,25.9,20304
2017-04-07 16:00:00-04:00,25.8,26.05,25.8,26.05,18823
2017-04-10 16:00:00-04:00,26.15,26.25,25.4,25.75,17932
2017-04-11 16:00:00-04:00,25.4,25.95,25.4,25.9,41949
2017-04-12 16:00:00-04:00,25.8,25.9,25.4481,25.45,11302
2017-04-13 16:00:00-04:00,25.55,25.55,24.75,25.05,23606
2017-04-17 16:00:00-04:00,25.4231,25.85,25.15,25.85,18826
2017-04-18 16:00:00-04:00,25.5,25.65,25.25,25.55,19804
2017-04-19 16:00:00-04:00,25.7,25.9,24.65,25.9,32555
2017-04-20 16:00:00-04:00,26.09,26.6,26.0,26.4,21547
2017-04-21 16:00:00-04:00,26.25,26.775,26.25,26.45,36223
2017-04-24 16:00:00-04:00,26.95,27.15,26.45,26.45,32609
2017-04-25 16:00:00-04:00,26.75,27.75,26.65,27.75,28992
2017-04-26 16:00:00-04:00,27.55,27.75,27.4,27.55,37509
2017-04-27 16:00:00-04:00,27.7,27.7,26.65,26.65,20237
2017-04-28 16:00:00-04:00,26.85,27.25,26.3,26.4,23504
2017-05-01 16:00:00-04:00,26.45,26.45,26.0,26.1,42212
2017-05-02 16:00:00-04:00,26.15,26.2,26.05,26.1,16025
2017-05-03 16:00:00-04:00,26.1,26.2,25.75,25.95,20318
2017-05-04 16:00:00-04:00,26.05,26.2,25.9,26.05,15313
2017-05-05 16:00:00-04:00,26.1,26.15,25.65,26.05,11938
2017-05-08 16:00:00-04:00,26.15,26.2,25.95,25.95,28586
2017-05-09 16:00:00-04:00,26.2,26.2,25.3,25.65,23663
2017-05-10 16:00:00-04:00,25.46,25.75,25.275,25.5,72904
2017-05-11 16:00:00-04:00,25.2,25.85,25.2,25.6,70267
2017-05-12 16:00:00-04:00,25.4,25.7,25.3,25.5,16114
2017-05-15 16:00:00-04:00,25.5,25.8,25.4,25.5,15447
2017-05-16 16:00:00-04:00,25.6,26.0,25.1,26.0,24167
2017-05-17 16:00:00-04:00,25.45,25.525,24.9,25.05,44427
2017-05-18 16:00:00-04:00,25.2,25.7,25.0,25.65,41580
2017-05-19 16:00:00-04:00,25.45,25.7,25.3,25.55,35687
2017-05-22 16:00:00-04:00,25.625,25.75,25.075,25.7,17275
2017-05-23 16:00:00-04:00,25.75,25.95,25.4,25.8,17015
2017-05-24 16:00:00-04:00,25.95,26.1,25.55,25.75,10660
2017-05-25 16:00:00-04:00,25.75,25.95,25.6,25.8,16057
2017-05-26 16:00:00-04:00,25.8,25.85,25.65,25.7,11460
2017-05-30 16:00:00-04:00,25.5,25.65,25.3,25.55,13224
2017-05-31 16:00:00-04:00,25.5689,25.95,25.2253,25.6,82453
2017-06-01 16:00:00-04:00,25.55,27.7,25.5,27.6,33113
2017-06-02 16:00:00-04:00,27.6,29.35,27.0,27.05,65647
2017-06-05 16:00:00-04:00,27.25,27.525,26.3,26.55,49192
2017-06-06 16:00:00-04:00,26.2,26.45,25.7,25.75,30313
2017-06-07 16:00:00-04:00,25.9,26.05,25.35,25.7,35929
2017-06-08 16:00:00-04:00,25.95,27.65,25.95,27.45,21228
2017-06-09 16:00:00-04:00,27.45,28.85,27.45,28.2,47877
2017-06-12 16:00:00-04:00,28.15,28.25,26.7,27.0,32060
2017-06-13 16:00:00-04:00,27.25,27.5,27.05,27.1,13318
2017-06-14 16:00:00-04:00,27.15,27.25,26.25,26.95,19315
2017-06-15 16:00:00-04:00,26.65,27.05,26.6,26.9,16989
2017-06-16 16:00:00-04:00,26.65,27.1,26.3,26.45,71832
2017-06-19 16:00:00-04:00,26.75,27.1,26.25,26.6,20975
2017-06-20 16:00:00-04:00,26.55,26.65,26.225,26.6,16684
2017-06-21 16:00:00-04:00,26.1565,26.6,26.15,26.45,24370
2017-06-22 16:00:00-04:00,26.45,26.6,24.63,26.2,8259
2017-06-23 16:00:00-04:00,26.55,26.7,26.0,26.6,125378
2017-06-26 16:00:00-04:00,26.65,26.75,26.2,26.5,20657
2017-06-27 16:00:00-04:00,26.5,26.75,26.3114,26.55,31415
2017-06-28 16:00:00-04:00,26.6,26.9,26.5,26.85,13297
2017-06-29 16:00:00-04:00,27.35,27.35,26.55,27.0,15257
2017-06-30 16:00:00-04:00,26.75,27.175,26.55,26.8,7448
2017-07-03 13:00:00-04:00,26.8,27.5,26.75,27.3,5031
2017-07-05 16:00:00-04:00,27.25,27.25,26.82,26.95,11403
2017-07-06 16:00:00-04:00,26.9,27.2,26.0,27.05,20562
2017-07-07 16:00:00-04:00,27.05,27.4,27.05,27.35,12425
2017-07-10 16:00:00-04:00,27.1,27.35,27.0,27.05,24788
2017-07-11 16:00:00-04:00,27.4,27.4,26.85,27.05,26492
2017-07-12 16:00:00-04:00,27.15,27.35,27.05,27.3,13122
2017-07-13 16:00:00-04:00,27.25,27.55,27.15,27.55,10417
2017-07-14 16:00:00-04:00,27.2,27.65,27.15,27.25,12616
2017-07-17 16:00:00-04:00,27.05,27.55,26.9,27.05,34761
2017-07-18 16:00:00-04:00,26.8,28.0,26.75,26.9,75677
2017-07-19 16:00:00-04:00,26.9,27.2,26.9,27.0,13749
2017-07-20 16:00:00-04:00,26.95,27.3,26.95,27.15,6742
2017-07-21 16:00:00-04:00,27.25,27.85,26.8,26.9,53064
2017-07-24 16:00:00-04:00,26.85,26.85,26.35,26.5,19210
2017-07-25 16:00:00-04:00,26.7,27.05,26.55,26.8,26078
2017-07-26 16:00:00-04:00,26.7,27.0,26.7,26.8,9042
2017-07-27 16:00:00-04:00,27.0,27.9,26.95,27.65,49254
2017-07-28 16:00:00-04:00,27.6,28.4,27.6,27.6,22738
2017-07-31 16:00:00-04:00,27.7,28.15,27.5,27.8,12940
2017-08-01 16:00:00-04:00,28.1,28.25,27.95,28.05,19210
2017-08-02 16:00:00-04:00,28.15,28.25,27.95,28.1,12233
2017-08-03 16:00:00-04:00,27.95,28.1,26.65,27.0,36784
2017-08-04 16:00:00-04:00,27.35,27.85,27.35,27.7,16294
2017-08-07 16:00:00-04:00,27.675,27.85,27.25,27.75,11133
2017-08-08 16:00:00-04:00,27.8,28.25,27.5,27.55,15117
2017-08-09 16:00:00-04:00,27.5,27.6,27.35,27.5,31404
2017-08-10 16:00:00-04:00,27.5,27.75,27.3919,27.5,15576
2017-08-11 16:00:00-04:00,27.65,27.695,27.25,27.6,23915
2017-08-14 16:00:00-04:00,27.65,27.85,27.2,27.3,43200
2017-08-15 16:00:00-04:00,27.5,27.5,26.55,26.75,9312
2017-08-16 16:00:00-04:00,26.9,27.3,26.9,27.0,10966
2017-08-17 16:00:00-04:00,27.0,27.1,26.65,26.7,31856
2017-08-18 16:00:00-04:00,26.75,27.25,26.75,27.0,24381
2017-08-21 16:00:00-04:00,27.0,27.0,26.9,26.95,9935
2017-08-22 16:00:00-04:00,27.0,27.05,26.95,27.0,17300
2017-08-23 16:00:00-04:00,26.9,27.0,26.85,26.9,8909
2017-08-24 16:00:00-04:00,26.9,27.0,26.9,26.9,6842
2017-08-25 16:00:00-04:00,27.0,27.2,26.95,27.2,41456
2017-08-28 16:00:00-04:00,27.15,27.5,27.15,27.4,9557
2017-08-29 16:00:00-04:00,27.35,27.45,26.975,27.15,8564
2017-08-30 16:00:00-04:00,27.1,27.35,27.0,27.1,8400
2017-08-31 16:00:00-04:00,27.35,27.4,27.05,27.35,36585
2017-09-01 16:00:00-04:00,27.25,27.75,27.25,27.75,14312
2017-09-05 16:00:00-04:00,27.3,27.6,27.05,27.25,24135
2017-09-06 16:00:00-04:00,27.25,27.55,27.2,27.5,41036
2017-09-07 16:00:00-04:00,27.5,27.5,26.85,26.85,62551
2017-09-08 16:00:00-04:00,26.9,27.0,26.6,26.7,13498
2017-09-11 16:00:00-04:00,26.8,27.15,26.7,27.15,79407
2017-09-12 16:00:00-04:00,27.05,27.65,27.05,27.5,12534
2017-09-13 16:00:00-04:00,27.35,28.15,27.35,27.9,19530
2017-09-14 16:00:00-04:00,27.95,27.95,27.5,27.8,10737
2017-09-15 16:00:00-04:00,27.85,29.9,27.65,29.75,149591
2017-09-18 16:00:00-04:00,29.65,30.6,29.65,30.1,42116
2017-09-19 16:00:00-04:00,29.9,30.35,29.9,30.2,28468
2017-09-20 16:00:00-04:00,30.05,30.6,29.725,30.05,29504
2017-09-21 16:00:00-04:00,30.2,30.205,29.05,29.35,29914
2017-09-22 16:00:00-04:00,29.4,30.0,29.0,29.95,18125
2017-09-25 16:00:00-04:00,30.0,30.25,29.9,29.95,12500
2017-09-26 16:00:00-04:00,30.0,31.2,30.0,31.05,43897
2017-09-27 16:00:00-04:00,31.15,33.0,30.85,32.85,38837
2017-09-28 16:00:00-04:00,33.0,33.6,32.35,33.05,38866
2017-09-29 16:00:00-04:00,33.1,33.45,32.45,32.45,22335
2017-10-02 16:00:00-04:00,32.5,33.05,31.9396,32.65,33033
2017-10-03 16:00:00-04:00,32.85,32.85,32.25,32.45,22547
2017-10-04 16:00:00-04:00,32.35,32.5,31.46,31.65,16722
2017-10-05 16:00:00-04:00,31.8,33.2,31.8,33.05,22674
2017-10-06 16:00:00-04:00,33.05,33.15,32.65,33.1,10343
2017-10-09 16:00:00-04:00,32.7,33.25,32.7,33.15,16805
2017-10-10 16:00:00-04:00,33.3,33.3,31.5,33.05,27185
2017-10-11 16:00:00-04:00,32.8,33.25,32.45,32.8,21779
2017-10-12 16:00:00-04:00,32.775,33.05,32.25,32.35,9834
2017-10-13 16:00:00-04:00,32.4,32.85,32.15,32.7,13468
2017-10-16 16:00:00-04:00,32.75,33.0,32.45,32.95,18317
2017-10-17 16:00:00-04:00,33.06,33.1,32.65,32.65,11056
2017-10-18 16:00:00-04:00,32.6,33.1,32.25,32.85,12161
2017-10-19 16:00:00-04:00,32.85,33.0,32.7,32.85,8161
2017-10-20 16:00:00-04:00,33.3,33.3,32.254,32.9,11896
2017-10-23 16:00:00-04:00,32.6,32.7,32.25,32.25,14233
2017-10-24 16:00:00-04:00,32.25,32.6,32.2,32.55,8398
2017-10-25 16:00:00-04:00,32.3,32.9,31.95,32.7,16173
2017-10-26 16:00:00-04:00,31.5,33.0,29.35,31.85,48693
2017-10-27 16:00:00-04:00,31.6,32.5,29.5,32.3,33438
2017-10-30 16:00:00-04:00,31.95,31.95,30.65,30.75,14467
2017-10-31 16:00:00-04:00,30.8,31.55,30.6,31.1,19290
2017-11-01 16:00:00-04:00,31.05,31.3,30.6,31.05,17423
2017-11-02 16:00:00-04:00,31.1,31.6,30.75,31.4,20430
2017-11-03 16:00:00-04:00,31.1,31.45,29.2,31.15,17716
2017-11-06 16:00:00-05:00,31.3,31.3,30.45,30.95,10467
2017-11-07 16:00:00-05:00,30.9,31.7775,30.05,30.4,22726
2017-11-08 16:00:00-05:00,30.2,30.2,29.175,29.9,26895
2017-11-09 16:00:00-05:00,29.55,30.35,29.55,30.0,12112
2017-11-10 16:00:00-05:00,29.8,30.15,29.05,29.95,14315
2017-11-13 16:00:00-05:00,29.85,30.375,29.85,30.35,9334
2017-11-14 16:00:00-05:00,30.311,31.3,30.2778,30.8,11587
2017-11-15 16:00:00-05:00,30.85,31.05,29.125,30.9,15403
2017-11-16 16:00:00-05:00,31.1,31.375,30.6,30.75,20051
2017-11-17 16:00:00-05:00,30.45,30.5,29.95,30.0,31177
2017-11-20 16:00:00-05:00,30.0,30.4,29.85,30.15,34057
2017-11-21 16:00:00-05:00,30.3,31.85,30.3,31.6,18225
2017-11-22 16:00:00-05:00,31.75,31.75,30.3,30.9,15237
2017-11-24 13:00:00-05:00,31.0,31.0,30.15,30.3,7211
2017-11-27 16:00:00-05:00,30.2,30.55,30.2,30.4,17036
2017-11-28 16:00:00-05:00,30.45,31.0,30.125,30.35,42207
2017-11-29 16:00:00-05:00,30.4,32.2,29.4,32.15,20951
2017-11-30 16:00:00-05:00,32.45,32.45,30.7,31.5,26069
2017-12-01 16:00:00-05:00,31.6,31.7,30.5253,31.35,10132
2017-12-04 16:00:00-05:00,31.75,32.2492,30.1264,31.5,10073
2017-12-05 16:00:00-05:00,31.5,31.65,30.35,30.45,15571
2017-12-06 16:00:00-05:00,30.45,30.7,30.25,30.35,12261
2017-12-07 16:00:00-05:00,30.35,31.35,30.0,30.6,17091
2017-12-08 16:00:00-05:00,30.8,30.8,30.325,30.55,15521
2017-12-11 16:00:00-05:00,30.45,30.85,30.35,30.45,14840
